127.0.0.1 - - [15/Feb/2019:21:22:04 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [15/Feb/2019:21:22:08 +0530] "GET /TwadWeb/ HTTP/1.1" 200 13177
0:0:0:0:0:0:0:1 - - [15/Feb/2019:21:22:08 +0530] "GET /TwadWeb/library/css/style.css HTTP/1.1" 200 11203
0:0:0:0:0:0:0:1 - - [15/Feb/2019:21:22:08 +0530] "GET /TwadWeb/library/js/jquery-1.7.2.min.js HTTP/1.1" 200 94843
0:0:0:0:0:0:0:1 - - [15/Feb/2019:21:22:08 +0530] "GET /TwadWeb/library/js/jquery.dataTables.min.js HTTP/1.1" 200 77654
0:0:0:0:0:0:0:1 - - [15/Feb/2019:21:22:08 +0530] "GET /TwadWeb/library/js/chosen.jquery.js HTTP/1.1" 200 28961
0:0:0:0:0:0:0:1 - - [15/Feb/2019:21:22:08 +0530] "GET /TwadWeb/library/js/jquery.validate.js HTTP/1.1" 200 48750
0:0:0:0:0:0:0:1 - - [15/Feb/2019:21:22:08 +0530] "GET /TwadWeb/library/js/jquery-ui-1.8.21.custom.min.js HTTP/1.1" 200 1013927
0:0:0:0:0:0:0:1 - - [15/Feb/2019:21:22:08 +0530] "GET /TwadWeb/library/js/dataTables.fixedColumns.js HTTP/1.1" 200 42355
0:0:0:0:0:0:0:1 - - [15/Feb/2019:21:22:08 +0530] "GET /TwadWeb/JS/common.js HTTP/1.1" 200 4371
0:0:0:0:0:0:0:1 - - [15/Feb/2019:21:22:08 +0530] "GET /TwadWeb/library/js/jquery-ui-timepicker-addon.js HTTP/1.1" 200 76782
0:0:0:0:0:0:0:1 - - [15/Feb/2019:21:22:08 +0530] "GET /TwadWeb/library/css/jquery-ui-1.8.21.custom.css HTTP/1.1" 200 33973
0:0:0:0:0:0:0:1 - - [15/Feb/2019:21:22:09 +0530] "GET /TwadWeb/library/fonts/OpenSans-Light.ttf HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:21:22:09 +0530] "GET /TwadWeb/library/fonts/OpenSans-Semibold.ttf HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:21:22:09 +0530] "GET /TwadWeb/library/img/border_bg.jpg HTTP/1.1" 200 1213
0:0:0:0:0:0:0:1 - - [15/Feb/2019:21:22:09 +0530] "GET /TwadWeb/library/img/twad_logo.gif HTTP/1.1" 200 12625
0:0:0:0:0:0:0:1 - - [15/Feb/2019:21:22:09 +0530] "GET /TwadWeb/library/img/middleImage.png HTTP/1.1" 200 4203
0:0:0:0:0:0:0:1 - - [15/Feb/2019:21:22:09 +0530] "GET /TwadWeb/library/img/pic6_2.jpg HTTP/1.1" 200 28767
0:0:0:0:0:0:0:1 - - [15/Feb/2019:21:22:09 +0530] "GET /TwadWeb/library/img/login.jpg HTTP/1.1" 200 4667
0:0:0:0:0:0:0:1 - - [15/Feb/2019:21:22:09 +0530] "GET /TwadWeb/library/img/new.png HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [15/Feb/2019:21:22:09 +0530] "GET /TwadWeb/library/img/application.png HTTP/1.1" 200 2995
0:0:0:0:0:0:0:1 - - [15/Feb/2019:21:22:09 +0530] "GET /TwadWeb/library/img/RS.jpg HTTP/1.1" 200 4536
0:0:0:0:0:0:0:1 - - [15/Feb/2019:21:22:09 +0530] "GET /TwadWeb/library/New_images/bgimg.jpg HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:21:22:09 +0530] "GET /TwadWeb/library/img/Close_SMS.png HTTP/1.1" 200 9103
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:30:08 +0530] "GET /TwadWeb/ HTTP/1.1" 200 13177
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:30:11 +0530] "GET /TwadWeb/library/css/style.css HTTP/1.1" 200 11203
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:30:11 +0530] "GET /TwadWeb/library/css/jquery-ui-1.8.21.custom.css HTTP/1.1" 200 33973
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:30:11 +0530] "GET /TwadWeb/library/js/jquery.validate.js HTTP/1.1" 200 48750
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:30:11 +0530] "GET /TwadWeb/library/js/chosen.jquery.js HTTP/1.1" 200 28961
