0:0:0:0:0:0:0:1 - - [20/Feb/2019:00:13:01 +0530] "GET /TwadWeb/signOut.do HTTP/1.1" 200 13126
127.0.0.1 - - [20/Feb/2019:00:13:04 +0530] "POST /TwadService/Services/DashboardService/getCategoryDtl HTTP/1.1" 200 488
127.0.0.1 - - [20/Feb/2019:00:13:04 +0530] "POST /TwadService/Services/DashboardService/getDistrictDtl HTTP/1.1" 200 56
127.0.0.1 - - [20/Feb/2019:00:13:04 +0530] "POST /TwadService/Services/DashboardService/getDivisionDtl HTTP/1.1" 200 39841
0:0:0:0:0:0:0:1 - - [20/Feb/2019:00:13:04 +0530] "GET /TwadWeb/formRegister.do HTTP/1.1" 200 35729
127.0.0.1 - - [20/Feb/2019:00:13:50 +0530] "POST /TwadService/Services/DashboardService/getCategoryDtl HTTP/1.1" 200 488
127.0.0.1 - - [20/Feb/2019:00:13:50 +0530] "POST /TwadService/Services/DashboardService/getDistrictDtl HTTP/1.1" 200 56
127.0.0.1 - - [20/Feb/2019:00:13:50 +0530] "POST /TwadService/Services/DashboardService/getDivisionDtl HTTP/1.1" 200 39841
0:0:0:0:0:0:0:1 - - [20/Feb/2019:00:13:51 +0530] "GET /TwadWeb/formRegister.do HTTP/1.1" 200 35729
127.0.0.1 - - [20/Feb/2019:00:14:55 +0530] "POST /TwadService/Services/DashboardService/getCategoryDtl HTTP/1.1" 200 488
127.0.0.1 - - [20/Feb/2019:00:14:55 +0530] "POST /TwadService/Services/DashboardService/getDistrictDtl HTTP/1.1" 200 56
127.0.0.1 - - [20/Feb/2019:00:14:55 +0530] "POST /TwadService/Services/DashboardService/getDivisionDtl HTTP/1.1" 200 39841
0:0:0:0:0:0:0:1 - - [20/Feb/2019:00:14:55 +0530] "GET /TwadWeb/formRegister.do HTTP/1.1" 200 35742
127.0.0.1 - - [20/Feb/2019:00:27:17 +0530] "POST /TwadService/Services/DashboardService/getCategoryDtl HTTP/1.1" 200 488
127.0.0.1 - - [20/Feb/2019:00:27:17 +0530] "POST /TwadService/Services/DashboardService/getDistrictDtl HTTP/1.1" 200 56
127.0.0.1 - - [20/Feb/2019:00:27:17 +0530] "POST /TwadService/Services/DashboardService/getDivisionDtl HTTP/1.1" 200 39841
0:0:0:0:0:0:0:1 - - [20/Feb/2019:00:27:17 +0530] "GET /TwadWeb/formRegister.do HTTP/1.1" 200 35964
127.0.0.1 - - [20/Feb/2019:00:29:06 +0530] "POST /TwadService/Services/DashboardService/getCategoryDtl HTTP/1.1" 200 488
127.0.0.1 - - [20/Feb/2019:00:29:06 +0530] "POST /TwadService/Services/DashboardService/getDistrictDtl HTTP/1.1" 200 56
127.0.0.1 - - [20/Feb/2019:00:29:06 +0530] "POST /TwadService/Services/DashboardService/getDivisionDtl HTTP/1.1" 200 39841
0:0:0:0:0:0:0:1 - - [20/Feb/2019:00:29:06 +0530] "GET /TwadWeb/formRegister.do HTTP/1.1" 200 35987
127.0.0.1 - - [20/Feb/2019:00:31:32 +0530] "POST /TwadService/Services/DashboardService/getCategoryDtl HTTP/1.1" 200 488
127.0.0.1 - - [20/Feb/2019:00:31:32 +0530] "POST /TwadService/Services/DashboardService/getDistrictDtl HTTP/1.1" 200 56
127.0.0.1 - - [20/Feb/2019:00:31:32 +0530] "POST /TwadService/Services/DashboardService/getDivisionDtl HTTP/1.1" 200 39841
0:0:0:0:0:0:0:1 - - [20/Feb/2019:00:31:32 +0530] "GET /TwadWeb/formRegister.do HTTP/1.1" 200 35961
